Metric,Node,Group,Average,Median,Std,IQR
Num NaN Sequences,backleg_l,402,5253.5,5088.0,1104.37,1133.0
Num NaN Sequences,backleg_m,199,445.21,442.5,217.59,328.0
Num NaN Sequences,backleg_m,274,3547.83,3490.5,655.66,363.75
Num NaN Sequences,backleg_m,400,6229.75,6200.0,1565.66,2146.75
Num NaN Sequences,backleg_m,402,4334.5,4320.0,505.45,454.75
Num NaN Sequences,backleg_r,199,1120.64,1150.5,378.5,364.75
Num NaN Sequences,backleg_r,274,1422.83,1409.0,372.88,260.75
Num NaN Sequences,backleg_r,400,2498.88,2494.5,525.41,622.25
Num NaN Sequences,backleg_r,402,4003.0,3921.0,950.69,1458.75
Num NaN Sequences,body_l,199,1413.64,1384.5,504.23,670.0
Num NaN Sequences,body_l,274,4987.33,4955.0,663.05,1019.5
Num NaN Sequences,body_l,400,4237.0,4125.0,1304.55,1445.0
Num NaN Sequences,body_l,402,5490.9,5636.0,527.56,954.25
Num NaN Sequences,body_m,199,232.43,198.5,108.86,136.75
Num NaN Sequences,body_m,274,2495.17,2476.0,476.62,797.25
Num NaN Sequences,body_m,400,3586.62,3507.5,793.7,1339.25
Num NaN Sequences,body_m,402,4915.2,4869.0,802.73,613.5
Num NaN Sequences,body_r,199,715.57,787.0,275.36,454.25
Num NaN Sequences,body_r,274,1301.33,1299.0,342.27,292.75
Num NaN Sequences,body_r,400,2728.0,2824.0,602.16,604.25
Num NaN Sequences,body_r,402,5327.4,4777.0,1205.15,2051.25
Num NaN Sequences,cheek_l,199,3196.0,3127.0,956.32,1057.5
Num NaN Sequences,cheek_l,274,4414.5,4529.5,375.76,223.75
Num NaN Sequences,cheek_l,400,4374.5,4379.5,1236.73,1849.0
Num NaN Sequences,cheek_l,402,5000.8,4943.0,428.27,484.0
Num NaN Sequences,cheek_r,199,2169.57,2233.5,601.83,811.25
Num NaN Sequences,cheek_r,274,1948.17,1967.5,325.45,417.5
Num NaN Sequences,cheek_r,400,3818.62,3900.5,647.01,696.75
Num NaN Sequences,cheek_r,402,2401.0,2071.5,626.82,821.25
